texto,sentimiento
"Excelente producto, llegó rápido y funciona perfectamente.",positivo
"Muy mala calidad, se rompió al segundo día.",negativo
"El servicio al cliente fue amable y resolvió mi problema.",positivo
"Demasiado caro para lo que ofrece.",negativo
"La interfaz es intuitiva y fácil de usar.",positivo
"No recomiendo esta marca, muy decepcionante.",negativo
"Entrega puntual y empaque impecable.",positivo
"El producto no coincide con la descripción.",negativo
"Superó mis expectativas, lo volvería a comprar.",positivo
"Atención telefónica lenta y poco útil.",negativo
"Buen rendimiento en tareas diarias.",positivo
"Tuve que devolverlo por fallas constantes.",negativo
"Relación calidad-precio muy buena.",positivo
"El manual de instrucciones es confuso.",negativo
"Me encantó la experiencia de compra.",positivo
"El soporte técnico nunca respondió.",negativo
"Funciona bien para uso profesional.",positivo
"Color diferente al anunciado.",negativo
"Instalación sencilla y rápida.",positivo
"Ruido excesivo durante el funcionamiento.",negativo
